bID,name,address,cord,numOfReview,rating,zipcode,cuisine
zubN8Ve-RyoljRZV4NRxEQ,Wo Hop,"17 Mott St, New York, NY 10013","40.7142239034582, -73.9988691693115",1478,3.5,10013,chinese
I_Va7AZSHpEwX75S-3hHLQ,Noodle Fun,"1744 1st Ave, New York, NY 10128","40.7795333862305, -73.9470367431641",151,4.0,10128,chinese
lgHmMRBaU-48kGaNz3jYxg,Chairman Sun 国色天湘,"47-30 Vernon Blvd, Long Island City, NY 11101","40.74465, -73.95375",199,3.5,11101,chinese
eQKYZWnBjPUjINAnFmrmbA,P.F. Chang's,"10 Port Imperial Blvd, West NY, NJ 07093","40.7802677928232, -74.0095958081818",476,2.5,07093,chinese
WIj12zDqIbBucW1hXYhrew,King's Kitchen,"92 E Broadway, New York, NY 10002","40.71399, -73.99367",280,4.0,10002,chinese
mhhTORjUdXj-UIDjyGmhBg,Estiatorio Milos - Midtown New York,"125 W 55th St, New York, NY 10019","40.7635461, -73.97900500122337",904,4.0,10019,chinese
pb_cHcy8D8UC-jQ-Q524ug,Som Bo,"143 8th Ave, New York, NY 10011","40.74192, -74.00136",229,4.0,10011,chinese
gcEMZjjqy5Ucnv_5Pv-q1g,Tasty Hand Pulled Noodles II,"648 9th Ave, New York, NY 10036","40.760537, -73.990782",308,4.0,10036,chinese
g_5V15Xp1OvB1QXuGMstYA,Chef Yu,"520 8th Ave, GFL, New York, NY 10018","40.75352133489135, -73.99226032843487",582,3.0,10018,chinese
Xf6e3HaP0AgMBxY7dEDkOA,99 Favor Taste,"285 Grand St, New York, NY 10002","40.7176199, -73.99249",1883,4.0,10002,chinese
k67-o4M_l_7LO_RxWBIpbA,Dainobu,"498 6th Ave, New York, NY 10011","40.736282, -73.9972",102,4.0,10011,chinese
62Kedrco374IuZ_OFb0BxA,3 Times 茅庐,"818 Broadway, New York, NY 10003","40.73285, -73.99104",113,4.0,10003,chinese
Pr-q47vsmM4aoc2t_Sfk8w,Momofuku Noodle Bar - Uptown,"10 Columbus Cir, Third Floor, New York, NY 10019","40.76847, -73.983092",313,4.0,10019,chinese
